"colname","unit","format","description"

"I_154nm","MJy sr-1",".3e","Region-average 154nm intensity (GALEX FUV)"
"e_I_154nm","MJy sr-1",".1e","Stats error on region-average 154nm intensity (GALEX FUV)"
"I_Halpha","erg s-1 cm-2 arcsec-2",".3e","Region-average Halpha line intensity (du Pont CCD & ESO/MPG WFI)"
"e_I_Halpha","erg s-1 cm-2 arcsec-2",".1e","Stats error on region-average Halpha line intensity (du Pont CCD & ESO/MPG WFI)"
"I_3p4um","MJy sr-1",".3e","Region-average 3.4um intensity (WISE1)"
"e_I_3p4um","MJy sr-1",".1e","Stats error on region-average 3.4um intensity (WISE1)"
"I_22um","MJy sr-1",".3e","Region-average 22um intensity (WISE4)"
"e_I_22um","MJy sr-1",".1e","Stats error on region-average 22um intensity (WISE4)"

"Zprime","1",".3e","Gas-phase metallicity relative to solar (fiducial)"
"Zprime_scaling","1",".3e","Gas-phase metallicity relative to solar (scaling relation-based prediction; Sun+20)"

"Sigma_SFR","Msun yr-1 kpc-2",".3e","Region-average SFR surface density (fiducial)"
"e_Sigma_SFR","Msun yr-1 kpc-2",".1e","Stats error on region-average SFR surface density (fiducial)"
"Sigma_SFR_FUVW4","Msun yr-1 kpc-2",".3e","Region-average SFR surface density (GALEX FUV + WISE4; Leroy+19)"
"e_Sigma_SFR_FUVW4","Msun yr-1 kpc-2",".1e","Stats error on region-average SFR surface density (GALEX FUV + WISE4; Leroy+19)"
"Sigma_SFR_NUVW4","Msun yr-1 kpc-2",".3e","Region-average SFR surface density (GALEX NUV + WISE4; Leroy+19)"
"e_Sigma_SFR_NUVW4","Msun yr-1 kpc-2",".1e","Stats error on region-average SFR surface density (GALEX NUV + WISE4; Leroy+19)"
"Sigma_SFR_W4ONLY","Msun yr-1 kpc-2",".3e","Region-average SFR surface density (WISE4 only; Leroy+19)"
"e_Sigma_SFR_W4ONLY","Msun yr-1 kpc-2",".1e","Stats error on region-average SFR surface density (WISE4 only; Leroy+19)"
"Sigma_SFR_HaW4","Msun yr-1 kpc-2",".3e","Region-average SFR surface density (Halpha + WISE4; Calzetti+07; Murphy+11)"
"e_Sigma_SFR_HaW4","Msun yr-1 kpc-2",".1e","Stats error on region-average SFR surface density (Halpha + WISE4; Calzetti+07; Murphy+11)"

"Sigma_star","Msun pc-2",".3e","Region-average stellar mass surface density (fiducial)"
"e_Sigma_star","Msun pc-2",".1e","Stats error on region-average stellar mass surface density (fiducial)"
"Sigma_star_3p6um","Msun pc-2",".3e","Region-average stellar mass surface density (3.6um + varying M/L; Leroy+21)"
"e_Sigma_star_3p6um","Msun pc-2",".1e","Stats error on region-average stellar mass surface density (3.6um + varying M/L; Leroy+21)"
"Sigma_star_3p4um","Msun pc-2",".3e","Region-average stellar mass surface density (3.4um + varying M/L; Leroy+21)"
"e_Sigma_star_3p4um","Msun pc-2",".1e","Stats error on region-average stellar mass surface density (3.4um + varying M/L; Leroy+21)"
"Sigma_star_3p6umICA","Msun pc-2",".3e","Region-average stellar mass surface density (S4G ICA + fixed M/L; Leroy+21)"
"e_Sigma_star_3p6umICA","Msun pc-2",".1e","Stats error on region-average stellar mass surface density (S4G ICA + fixed M/L; Leroy+21)"

"I_Halpha_DAP","erg s-1 cm-2 arcsec-2",".3e","Region-average Halpha line intensity (DAP)"
"e_I_Halpha_DAP","erg s-1 cm-2 arcsec-2",".1e","Stats error on region-average Halpha line intensity (DAP)"
"I_Halpha_DAP_corr","erg s-1 cm-2 arcsec-2",".3e","Region-average Halpha line intensity (DAP, Av-corrected)"
"e_I_Halpha_DAP_corr","erg s-1 cm-2 arcsec-2",".1e","Stats error on region-average Halpha line intensity (DAP, Av-corrected)"
"Sigma_SFR_Hacorr","Msun yr-1 kpc-2",".3e","Region-average SFR surface density (Av-corrected Halpha; Belfiore+22)"
"e_Sigma_SFR_Hacorr","Msun yr-1 kpc-2",".1e","Stats error on region-average SFR surface density (Av-corrected Halpha; Belfiore+22)"
"Sigma_SFR_HaW4recal","Msun yr-1 kpc-2",".3e","Region-average SFR surface density (recalibrated Halpha + WISE4; Belfiore+22)"
"e_Sigma_SFR_HaW4recal","Msun yr-1 kpc-2",".1e","Stats error on region-average SFR surface density (recalibrated Halpha + WISE4; Belfiore+22)"
"Sigma_SFR_FUVW4recal","Msun yr-1 kpc-2",".3e","Region-average SFR surface density (recalibrated GALEX FUV + WISE4; Belfiore+22)"
"e_Sigma_SFR_FUVW4recal","Msun yr-1 kpc-2",".1e","Stats error on region-average SFR surface density (recalibrated GALEX FUV + WISE4; Belfiore+22)"

"N_HII","1",".0f","Number of HII regions in each aperture"
"<F_Halpha_HII>","erg s-1 cm-2",".3e","Flux-weighted mean HII region Halpha line flux"
"e_<F_Halpha_HII>","erg s-1 cm-2",".1e","Stats error on flux-weighted mean HII region Halpha line flux"
"<Zprime_HII>","1",".3e","Flux-weighted mean HII region metallicity relative to solar (PG16S)"
"e_<Zprime_HII>","1",".1e","Stats error on flux-weighted mean HII region metallicity relative to solar (PG16S)"
"med[E(B-V)_HII]","mag",".4f","Median HII region extinction"
"e_med[E(B-V)_HII]","mag",".4f","Stats error on median HII region extinction"
